angle ; sinus ; cosinus ; tan ; artan
81 ; 0.987688 ; 0.156435 ; 6.313739 ; 0.955151 ; 
82 ; 0.990268 ; 0.139173 ; 7.115354 ; 0.960924 ; 
83 ; 0.992546 ; 0.121870 ; 8.144326 ; 0.966603 ; 
84 ; 0.994522 ; 0.104529 ; 9.514337 ; 0.972190 ; 
85 ; 0.996195 ; 0.087156 ; 11.430012 ; 0.977687 ; 
86 ; 0.997564 ; 0.069757 ; 14.300602 ; 0.983096 ; 
87 ; 0.998630 ; 0.052336 ; 19.081021 ; 0.988418 ; 
88 ; 0.999391 ; 0.034900 ; 28.635991 ; 0.993656 ; 
89 ; 0.999848 ; 0.017453 ; 57.288901 ; 0.998811 ; 
90 ; 1.000000 ; 0.000000 ; 3060023.306953 ; 1.003885 ; 
91 ; 0.999848 ; -0.017452 ; -57.291046 ; 1.008879 ; 
92 ; 0.999391 ; -0.034899 ; -28.636528 ; 1.013795 ; 
93 ; 0.998630 ; -0.052336 ; -19.081260 ; 1.018634 ; 
94 ; 0.997564 ; -0.069756 ; -14.300736 ; 1.023399 ; 
95 ; 0.996195 ; -0.087155 ; -11.430098 ; 1.028091 ; 
96 ; 0.994522 ; -0.104528 ; -9.514396 ; 1.032710 ; 
97 ; 0.992546 ; -0.121869 ; -8.144370 ; 1.037259 ; 
98 ; 0.990268 ; -0.139173 ; -7.115388 ; 1.041739 ; 
99 ; 0.987688 ; -0.156434 ; -6.313766 ; 1.046152 ; 
100 ; 0.984808 ; -0.173648 ; -5.671294 ; 1.050498 ; 
101 ; 0.981627 ; -0.190809 ; -5.144564 ; 1.054779 ; 
102 ; 0.978148 ; -0.207911 ; -4.704639 ; 1.058997 ; 
103 ; 0.974370 ; -0.224951 ; -4.331483 ; 1.063152 ; 
104 ; 0.970296 ; -0.241922 ; -4.010787 ; 1.067246 ; 
105 ; 0.965926 ; -0.258819 ; -3.732056 ; 1.071280 ; 
106 ; 0.961262 ; -0.275637 ; -3.487420 ; 1.075256 ; 
107 ; 0.956305 ; -0.292371 ; -3.270857 ; 1.079173 ; 
108 ; 0.951057 ; -0.309017 ; -3.077688 ; 1.083035 ; 
109 ; 0.945519 ; -0.325568 ; -2.904215 ; 1.086840 ; 
110 ; 0.939693 ; -0.342020 ; -2.747481 ; 1.090592 ; 
111 ; 0.933581 ; -0.358368 ; -2.605092 ; 1.094290 ; 
112 ; 0.927184 ; -0.374606 ; -2.475090 ; 1.097936 ; 
113 ; 0.920505 ; -0.390731 ; -2.355855 ; 1.101531 ; 
114 ; 0.913546 ; -0.406736 ; -2.246039 ; 1.105075 ; 
115 ; 0.906308 ; -0.422618 ; -2.144509 ; 1.108570 ; 
116 ; 0.898794 ; -0.438371 ; -2.050306 ; 1.112017 ; 
117 ; 0.891007 ; -0.453990 ; -1.962613 ; 1.115416 ; 
118 ; 0.882948 ; -0.469471 ; -1.880728 ; 1.118769 ; 
119 ; 0.874620 ; -0.484809 ; -1.804050 ; 1.122076 ; 
120 ; 0.866026 ; -0.500000 ; -1.732053 ; 1.125339 ; 
121 ; 0.857168 ; -0.515038 ; -1.664281 ; 1.128557 ; 
122 ; 0.848048 ; -0.529919 ; -1.600336 ; 1.131732 ; 
123 ; 0.838671 ; -0.544639 ; -1.539866 ; 1.134865 ; 
124 ; 0.829038 ; -0.559193 ; -1.482562 ; 1.137956 ; 
125 ; 0.819152 ; -0.573576 ; -1.428149 ; 1.141007 ; 
126 ; 0.809017 ; -0.587785 ; -1.376383 ; 1.144017 ; 
127 ; 0.798636 ; -0.601815 ; -1.327046 ; 1.146988 ; 
128 ; 0.788011 ; -0.615661 ; -1.279943 ; 1.149921 ; 
129 ; 0.777146 ; -0.629320 ; -1.234898 ; 1.152815 ; 
130 ; 0.766045 ; -0.642787 ; -1.191755 ; 1.155672 ; 
131 ; 0.754710 ; -0.656059 ; -1.150370 ; 1.158493 ; 
132 ; 0.743145 ; -0.669130 ; -1.110614 ; 1.161278 ; 
133 ; 0.731354 ; -0.681998 ; -1.072370 ; 1.164027 ; 
134 ; 0.719340 ; -0.694658 ; -1.035531 ; 1.166742 ; 
135 ; 0.707107 ; -0.707106 ; -1.000001 ; 1.169423 ; 
136 ; 0.694659 ; -0.719339 ; -0.965690 ; 1.172070 ; 
137 ; 0.681999 ; -0.731353 ; -0.932516 ; 1.174685 ; 
138 ; 0.669131 ; -0.743144 ; -0.900405 ; 1.177267 ; 
139 ; 0.656059 ; -0.754709 ; -0.869288 ; 1.179817 ; 
140 ; 0.642788 ; -0.766044 ; -0.839100 ; 1.182336 ; 
141 ; 0.629321 ; -0.777146 ; -0.809785 ; 1.184825 ; 
142 ; 0.615662 ; -0.788010 ; -0.781286 ; 1.187284 ; 
143 ; 0.601815 ; -0.798635 ; -0.753555 ; 1.189713 ; 
144 ; 0.587786 ; -0.809017 ; -0.726543 ; 1.192112 ; 
145 ; 0.573577 ; -0.819152 ; -0.700208 ; 1.194484 ; 
146 ; 0.559193 ; -0.829037 ; -0.674509 ; 1.196827 ; 
147 ; 0.544639 ; -0.838670 ; -0.649408 ; 1.199142 ; 
148 ; 0.529920 ; -0.848048 ; -0.624870 ; 1.201431 ; 
149 ; 0.515039 ; -0.857167 ; -0.600861 ; 1.203692 ; 
150 ; 0.500000 ; -0.866025 ; -0.577351 ; 1.205927 ; 
151 ; 0.484810 ; -0.874619 ; -0.554310 ; 1.208137 ; 
152 ; 0.469472 ; -0.882947 ; -0.531710 ; 1.210321 ; 
153 ; 0.453991 ; -0.891006 ; -0.509526 ; 1.212480 ; 
154 ; 0.438372 ; -0.898794 ; -0.487733 ; 1.214614 ; 
155 ; 0.422619 ; -0.906308 ; -0.466308 ; 1.216724 ; 
156 ; 0.406737 ; -0.913545 ; -0.445229 ; 1.218810 ; 
157 ; 0.390732 ; -0.920505 ; -0.424475 ; 1.220873 ; 
158 ; 0.374607 ; -0.927184 ; -0.404027 ; 1.222913 ; 
159 ; 0.358368 ; -0.933580 ; -0.383865 ; 1.224930 ; 
160 ; 0.342021 ; -0.939692 ; -0.363971 ; 1.226925 ; 
161 ; 0.325569 ; -0.945518 ; -0.344328 ; 1.228898 ; 
162 ; 0.309018 ; -0.951056 ; -0.324920 ; 1.230849 ; 
163 ; 0.292372 ; -0.956305 ; -0.305731 ; 1.232779 ; 
164 ; 0.275638 ; -0.961262 ; -0.286746 ; 1.234688 ; 
165 ; 0.258820 ; -0.965926 ; -0.267950 ; 1.236576 ; 
166 ; 0.241922 ; -0.970296 ; -0.249329 ; 1.238444 ; 
167 ; 0.224952 ; -0.974370 ; -0.230869 ; 1.240292 ; 
168 ; 0.207912 ; -0.978147 ; -0.212557 ; 1.242120 ; 
169 ; 0.190810 ; -0.981627 ; -0.194381 ; 1.243929 ; 
170 ; 0.173649 ; -0.984808 ; -0.176328 ; 1.245719 ; 
171 ; 0.156435 ; -0.987688 ; -0.158385 ; 1.247490 ; 
172 ; 0.139174 ; -0.990268 ; -0.140541 ; 1.249242 ; 
173 ; 0.121870 ; -0.992546 ; -0.122785 ; 1.250976 ; 
174 ; 0.104529 ; -0.994522 ; -0.105105 ; 1.252693 ; 
175 ; 0.087156 ; -0.996195 ; -0.087489 ; 1.254391 ; 
176 ; 0.069757 ; -0.997564 ; -0.069927 ; 1.256072 ; 
177 ; 0.052337 ; -0.998630 ; -0.052408 ; 1.257736 ; 
178 ; 0.034900 ; -0.999391 ; -0.034921 ; 1.259383 ; 
179 ; 0.017453 ; -0.999848 ; -0.017456 ; 1.261013 ; 
180 ; 0.000001 ; -1.000000 ; -0.000001 ; 1.262627 ; 
181 ; -0.017452 ; -0.999848 ; 0.017454 ; 1.264225 ; 
182 ; -0.034899 ; -0.999391 ; 0.034920 ; 1.265807 ; 
183 ; -0.052335 ; -0.998630 ; 0.052407 ; 1.267372 ; 
